ID,Room Name,Building,Room Number,Room Type,WD Room Type,Department,Seating,"Technology/Equipment Additional Notes",Technology Details,PC CCID,System,System Name,Operating System,Optical Drive,"Wireless Projection (Solstice)",Number of Lab Computers,Record / Stream,"Video Conferencing (Zoom Room)",Phone in Room,Photo Index,Photo URL,Photo 360 View,,,,,,,,
6740,Bixler 154,Bixler,154,Classroom,Classroom,Art/Music/Cinema,38,"Projector,Doc Cam (Samsung)",Oppo bluray,220261,Mac Mini,,Mac,Yes,No,,No,No,,68,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_154_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_154_2024.jpg""]",,,,,,,,
6811,Bixler 178 (Given),Bixler,178 (Given),Auditorium,Lecture Hall,Art/Music/Cinema,350,,,,,,,,,,No,No,,,,,,,,,,,,
6824,Bixler 219,Bixler,219,Studio,Classroom,Music,30,,,,,,,,,,No,No,,,,,,,,,,,,
6741,Bixler 226,Bixler,226,Classroom,Classroom,Music,25,Projector,,025200,Mac Mini,,Mac,No,No,,No,No,,70,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_226_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_226_2024.jpg""]",,,,,,,,
2,,Bixler ,250,,Studio,,,,,,,,,,,,No,No,,,,,,,,,,,,
6742,Bixler 278,Bixler,278,Studio,Studio,Art,20,"Projector, 14 Classroom iMacs, 2 Epson Photo Scanners",,180404,iMac Pro,,Mac,No,Yes,14,No,No,,71,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_278_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_278_2024.jpg""]",,,,,,,,
6743,Bixler 283,Bixler,283,Studio,Studio,Art,20,"Projector, Doc Cam (Samsung), Epson scanners, Wacom tablets ",,230564,Mac Mini,,Mac,No,No,16,No,No,,72,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_283_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Bixler_283_2024.jpg""]",,,,,,,,
6826,Bixler 302,Bixler,302,Studio,Classroom,Art,20,,,,,,,,,,No,No,,,,,,,,,,,,
6856,Davis 101,Davis,101,Conference,Seminar Classroom,CompSci,12,"Side TV, 5 Mac Minis",,210815,Mac Mini,,Mac,No,No,4,No,No,,34,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_101_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_101_2024.jpg""]",,,,,,,,
6744,Davis 102,Davis,102,Class/Cluster,Computer Classroom,CompSci,26,"Projector, TV, 23 Classroom Mac Minis, Printer, Eno board",,210931,Mac Mini,,Mac,Yes,No,,No,No,,,,,,,,,,,,
6745,Davis 117,Davis,117,Seminar,Seminar Classroom,CompSci,30,"Projector, Rolling Cart, Two Eno boards, Printer",Oppo BluRay,025191,Mac Mini,,Mac,Yes,No,,No,No,,35,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_117_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_117_2024.jpg""]",,,,,,,,
6746,Davis 122,Davis,122,Robotics Lab,Instructional Lab,CompSci,16,"Side TV, 15 Classroom Dells, Suspended Outlets",No classroom computer,,,,Mac,No,No,15,No,No,,36,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_122_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_122_2024.jpg""]",,,,,,,,
6827,Davis 132,Davis,132,Conference,Seminar Classroom,Psych,12,"Projector, Eno Board, Printer",,7040-220064,PC,,Windows,No,No,,No,No,,37,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_132_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_132_2024.jpg""]",,,,,,,,
6747,Davis 201,Davis,201,Classroom,Classroom,Math,34,Projector ,Oppo BluRay,190183,iMac,,Mac,Yes,No,,No,No,,38,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_201_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_201_2024.jpg""]",,,,,,,,
8407,Davis 216,Davis,216,Computer Lab,Computer Classroom,,14?,"14 Classroom iMacs, Printer",No classroom computer,,,,,No,No,14,No,No,,39,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_216_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_216_2024.jpg""]",,,,,,,,
6748,Davis 217,Davis,217,Seminar,Seminar Classroom,Math,16,Projector,Oppo BluRay,022237,iMac,,Mac,Yes,No,,No,No,,40,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_217_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_217_2024.jpg""]",,,,,,,,
6828,Davis 300,Davis,300,Lab/Seminar,Seminar Classroom,Psych,12,"Projector, Doc Cam",,190473,PC,,Windows,No,No,,No,No,,45,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_300_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_300_2024.jpg""]",,,,,,,,
6749,Davis 301,Davis,301,Classroom,Classroom,Psych,48,"Projector, Eno board ",Oppo BluRay,190516,PC,,Windows,Yes,No,,No,No,,44,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_301_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_301_2024.jpg""]",,,,,,,,
6829,Davis 306,Davis,306,Class/Cluster,Classroom,Psych,16,"Projector, Classroom iMacs, Printer",,200253,PC,,Windows,No,No,6,No,No,,41,https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_306_2024.jpg,"[vrview img=""https://www.colby.edu/acits/wp-content/uploads/sites/178/2024/07/Davis_306_2024.jpg""]",,,,,,,,
